,pf,row,visible,x,y,z,labeled,x_proj,y_proj,x_proj_rotated,y_proj_rotated,x_pixel,y_pixel
5233,13.0,348.0,1.0,-2.8712339214514584,12.730220570292822,2794.7904622268316,False,2794.7904622268316,-2.8712339214514584,-705.8144401378343,-2704.1982079409813,48,69
5234,14.0,348.0,1.0,2.5168624221178697,12.804995257637973,2795.8714622268317,False,2795.8714622268317,2.5168624221178697,-700.8715326518321,-2706.5998342217354,48,69
5235,0.0,349.0,1.0,7.633681805107777,10.58439427167972,2788.7280871182884,False,2788.7280871182884,7.633681805107777,-694.12231967969,-2700.97331017965,48,69
5236,1.0,349.0,1.0,11.259249668201742,6.597863056255337,2789.8090871182885,False,2789.8090871182885,11.259249668201742,-690.8852643623937,-2702.93156864131,48,69
5237,2.0,349.0,1.0,12.965075979284558,1.4863730525606822,2790.890087118288,False,2790.890087118288,12.965075979284558,-689.5062189020332,-2704.40691199858,48,69
5238,3.0,349.0,1.0,12.46031137037853,-3.878548768961855,2791.9710871182883,False,2791.9710871182883,12.46031137037853,-690.2666800407192,-2705.3261764692047,48,69
5239,4.0,349.0,1.0,9.831019977394797,-8.582164424203516,2793.0520871182885,False,2793.0520871182885,9.831019977394797,-693.0833511426708,-2705.7110116711406,48,69
5240,5.0,349.0,1.0,5.525505203153477,-11.822490949454089,2794.1330871182886,False,2794.1330871182886,5.525505203153477,-697.5223445627178,-2705.6741892867767,48,69
5241,6.0,349.0,1.0,0.27787241510656047,-13.047041309083177,2795.2140871182883,False,2795.2140871182883,0.27787241510656047,-702.8731610113456,-2705.4003750956203,48,69
5242,7.0,349.0,1.0,-5.0171385941502695,-12.047025372559313,2796.2950871182884,False,2796.2950871182884,-5.0171385941502695,-708.2698321751146,-2705.1146428113143,48,69
5243,8.0,349.0,1.0,-9.456709879160595,-8.992949363884264,2797.3760871182885,False,2797.3760871182885,-9.456709879160595,-712.8385713508517,-2705.0440982241753,48,69
5244,9.0,349.0,1.0,-12.283878967281149,-4.405543952474855,2798.457087118288,False,2798.457087118288,-12.283878967281149,-715.8467571427085,-2705.3791568675406,48,69
5245,10.0,349.0,1.0,-13.016603614759708,0.9330221520545411,2799.5380871182883,False,2799.5380871182883,-13.016603614759708,-716.8278479792889,-2706.24107750159,48,69
5246,11.0,349.0,1.0,-11.529951699705416,6.112504707765888,2800.6190871182885,False,2800.6190871182885,-11.529951699705416,-715.6609290876231,-2707.6612870695094,48,69
5247,12.0,349.0,1.0,-8.077402586979222,10.249783775663825,2801.7000871182886,False,2801.7000871182886,-8.077402586979222,-712.591328885981,-2709.5760222934673,48,69
5248,13.0,349.0,1.0,-3.2476280075916324,12.639438766191574,2802.7810871182883,False,2802.7810871182883,-3.2476280075916324,-708.188789628246,-2711.8372015370924,48,69
5249,14.0,349.0,1.0,2.135878535770121,12.874025123497175,2803.8620871182884,False,2803.8620871182884,2.135878535770121,-703.2503243516747,-2714.2376732437615,48,69
5250,0.0,350.0,1.0,7.316322693352719,10.806198325346985,2796.7187120097446,False,2796.7187120097446,7.316322693352719,-696.4395325392898,-2708.627154150171,48,69
5251,1.0,350.0,1.0,11.05856020752995,6.928978722469509,2797.799712009745,False,2797.799712009745,11.05856020752995,-693.08955922973,-2710.614761112765,48,69
5252,2.0,350.0,1.0,12.915274426512065,1.870343949086238,2798.8807120097445,False,2798.8807120097445,12.915274426512065,-691.5644778512138,-2712.1280606468536,48,69
5253,3.0,350.0,1.0,12.569889064895563,-3.5071910264795925,2799.9617120097446,False,2799.9617120097446,12.569889064895563,-692.170684782012,-2713.087417308931,48,69
5254,4.0,350.0,1.0,10.081293538022589,-8.286737633123424,2801.0427120097447,False,2801.0427120097447,10.081293538022589,-694.8511842697221,-2713.507644857716,48,69
5255,5.0,350.0,1.0,5.873802110153535,-11.653366413648714,2802.123712009745,False,2802.123712009745,5.873802110153535,-699.1953064069244,-2713.495480456348,48,69
5256,6.0,350.0,1.0,0.6648068244387315,-13.033055354987935,2803.2047120097445,False,2803.2047120097445,0.6648068244387315,-704.5087277905211,-2713.2313856117635,48,69
5257,7.0,350.0,1.0,-4.657540356166541,-12.190562654392945,2804.2857120097447,False,2804.2857120097447,-4.657540356166541,-709.9318560967962,-2712.9387768549304,48,69
